,Thickness_Max
1,8.968400001525879
2,9.34011173248291
3,7.66292142868042
4,6.851012229919434
5,7.484897136688232
6,6.288056373596191
7,6.002005577087402
8,7.092992305755615
9,7.123933792114258
10,6.071628570556641
11,5.935670375823975
12,5.786741256713867
13,5.936320781707764
14,6.169922351837158
15,5.231019496917725
16,5.5920090675354
Global,9.34011173248291
